Trials with delta >= 0.1, sorted by descending absolute time delta
Win rate in t1.txt: 39.78%
Win rate in t2.txt: 39.78%
Format: seed, won, time1, time2, delta
{'seed': 7429444495912626801, 'won': True, 'time1': 0.6213488578796387, 'time2': 1.0915188789367676, 'delta': 0.4701700210571289}
{'seed': 6161992510754397816, 'won': True, 'time1': 0.060900211334228516, 'time2': 0.5300500392913818, 'delta': 0.4691498279571533}
{'seed': 50356022882551319, 'won': False, 'time1': 0.22916388511657715, 'time2': 0.6965792179107666, 'delta': 0.46741533279418945}
{'seed': 721943722222462987, 'won': False, 'time1': 0.5462701320648193, 'time2': 1.0123329162597656, 'delta': 0.4660627841949463}
{'seed': 815176277517749067, 'won': True, 'time1': 0.08117890357971191, 'time2': 0.5434839725494385, 'delta': 0.46230506896972656}
{'seed': 2896081752907413723, 'won': False, 'time1': 5.683583974838257, 'time2': 5.227045774459839, 'delta': 0.45653820037841797}
{'seed': 2060419369515435904, 'won': True, 'time1': 0.8725676536560059, 'time2': 1.3286528587341309, 'delta': 0.456085205078125}
{'seed': 4052462690307402738, 'won': False, 'time1': 2.7218270301818848, 'time2': 2.2708370685577393, 'delta': 0.4509899616241455}
{'seed': 6550785906133117530, 'won': False, 'time1': 0.3535621166229248, 'time2': 0.7976927757263184, 'delta': 0.44413065910339355}
{'seed': 3918309520687153218, 'won': True, 'time1': 0.8904857635498047, 'time2': 1.334510087966919, 'delta': 0.44402432441711426}
{'seed': 6704981081289221780, 'won': True, 'time1': 6.32714581489563, 'time2': 6.769348859786987, 'delta': 0.4422030448913574}
{'seed': 4015283570971187316, 'won': True, 'time1': 0.07971310615539551, 'time2': 0.5201840400695801, 'delta': 0.44047093391418457}
{'seed': 1017002995402706884, 'won': False, 'time1': 0.35361170768737793, 'time2': 0.793790340423584, 'delta': 0.44017863273620605}
{'seed': 3098443178520776837, 'won': True, 'time1': 0.17331194877624512, 'time2': 0.61124587059021, 'delta': 0.43793392181396484}
{'seed': 6024332173349153287, 'won': True, 'time1': 0.6424987316131592, 'time2': 1.080198049545288, 'delta': 0.4376993179321289}
{'seed': 871171637871855404, 'won': True, 'time1': 1.0196127891540527, 'time2': 1.4571819305419922, 'delta': 0.43756914138793945}
